M.S. Dhoni: The Untold Story,"M.S. Dhoni: The Untold Story is a 2016 Indian biographical sports film written and directed by Neeraj Pandey. It based on the life of Indian cricketer and the current ODI and T20I captain of the Indian national cricket team# Mahendra Singh Dhoni. The film stars Sushant Singh Rajput as Dhoni# along with Disha Patani# Kiara Advani# and Anupam Kher. The film chronicles the life of Dhoni from a young age and the series of life events that finally culminates to his stardom in the realm of cricket.
The idea of the biopic was put forward by Dhoni's manager# Arun Pandey# after encountering an incident at an airport after the 2011 Cricket World Cup Final. Development began two years later# with the consent of Dhoni. Neeraj Pandey was later approached to helm the film while he was working on Baby. Pandey recruited a number of people for researching into Dhoni's background and his life events.",https://upload.wikimedia.org/wikipedia/en/3/33/M.S._Dhoni_-_The_Untold_Story_poster.jpg,30-09-2016,Arun Pandey,Neeraj Pandey,Neeraj Pandey,Hindi,102,5.6,Action
Ae Dil Hai Mushkil,Ae Dil Hai Mushkil (English: This Heart is Complicated) is a 2016 upcoming Indian Hindi romantic drama film written and directed by Karan Johar. It features Aishwarya Rai Bachchan# Ranbir Kapoor and Anushka Sharma in lead roles. It is scheduled for release on 28 October# 2016 on the Diwali weekend.,https://upload.wikimedia.org/wikipedia/en/2/2a/Ae_Dil_Hai_Mushkil2.jpg,28-10-2016,Hiroo Yash Johar,Karan Johar,Karan Johar,Hindi,90,6.9,Comedy
Dishoom,Dishoom is a 2016 Indian action-adventure film written and directed by Rohit Dhawan. The film stars Varun Dhawan# Jacqueline Fernandez# John Abraham# Saqib Saleem and Akshaye Khanna. The film's score is composed by Abhijit Vaghani and the film's musical numbers were composed by Pritam Chakraborty. The film was released worldwide on 29 July 2016.and became a commercial success.,https://upload.wikimedia.org/wikipedia/en/8/86/John_Abraham%27s_Dishoom_poster.jpg,29-07-2016,Sajid Nadiadwala,Hussain Dalal (dialogues),Rohit Dhawan,Hindi,106,3.7,Tragedy
Baar Baar Dekho,"Baar Baar Dekho (English: Look Again and Again) is a 2016 Indian Hindi-language romantic drama film directed by Nitya Mehra which marks her debut in Hindi cinema. The film stars Katrina Kaif and Sidharth Malhotra.
The film was released in India on 9 September 2016.",https://upload.wikimedia.org/wikipedia/en/a/aa/Katrina_Kaif%27s_Baar_Baar_Dekho.jpg,09-09-2016,Hiroo Yash Johar,Anvita Dutt (dialogues),Nitya Mehra,Hindi,122,2,Comedy
Neerja,"Neerja is a 2016 Indian Hindi-language biographical thriller film directed by Ram Madhvani and written by Saiwyn Quadras and Sanyuktha Chawla Shaikh. It was produced by Atul Kasbekar's company# Bling Unplugged# alongside Vijay Singh's Fox Star Studios. The film features Sonam Kapoor as the title character# with Shabana Azmi# Yogendra Tiku and Shekhar Ravjiani in supporting roles.
The plot centers on the Libyan-backed Abu Nidal Organization's hijacking of Pan Am Flight 73 in Karachi# Pakistan# on 5 September 1986. The film is shown from the point of view of the flight's head purser# Neerja Bhanot# who thwarted the hijack attempt by alerting the pilots# thus grounding the plane; Bhanot gave her life to help save 359 of the 379 passengers and crew on board.
Development began in September 2014# when Kasbekar signed Madhvani and Kapoor for a film to be made by Bling Unplugged and Fox Star Studios. Saiwyn Quadras and Sanyuktha Chawla worked on the script# with principal photography taking place in Mumbai. The film features music by Vishal Khurana# with lyrics written by Prasoon Joshi.",https://upload.wikimedia.org/wikipedia/en/a/aa/Neerja_Poster.jpg,19-02-2016,Atul Kasbekar,Saiwyn Quadras,Ram Madhvani,Hindi,110,6.2,Thriller
Udta Punjab,"Udta Punjab (English: ""Flying Punjab"") is a 2016 Indian crime-drama film co-written and directed by Abhishek Chaubey. It is based on drug abuse in the Indian state of Punjab. Produced by Shobha Kapoor and Ekta Kapoor under their banner Balaji Motion Pictures# in association with Anurag Kashyap's production house Phantom Films# it features Shahid Kapoor# Kareena Kapoor# Alia Bhatt and# Diljit Dosanjh in lead roles.
On 4 June 2016# the Central Board of Film Certification sought a stay on the film's release citing that the themes dealt with in the film were too vulgar for the general audience. As a result# the producers were directed to make a total of 89 cuts in the film. However# on 13 June 2016# the Bombay High Court struck down the stay and gave permission for the film's national release# albeit with a single cut in the screenplay. The film was released worldwide on 17 June 2016. Made on a budget of ?400 million (US$5.9 million)# Udta Punjab has earned over ?996 million (US$15 million) worldwide.",https://upload.wikimedia.org/wikipedia/en/9/91/Udta_Punjab.jpg,17-06-2016,Shobha Kapoor,Sudip Sharma ,Abhishek Chaubey,Hindi,156,5.7,Tragedy
Fitoor,Fitoor (English: Passion# Obsession) is a 2016 Indian Hindi-language romantic drama film directed by Abhishek Kapoor# produced by Siddharth Roy Kapur# and written by Kapoor and Supratik Sen based on Charles Dickens' novel Great Expectations. The film features Tabu# Aditya Roy Kapur and Katrina Kaif in leading roles. Filming began in Kashmir in November 2014. The film was released on 12 February 2016.,https://upload.wikimedia.org/wikipedia/en/7/78/Fitoor_Hindi_Film_Poster.jpg,12-02-2016,"
","
",Abhishek Kapoor,Hindi,141,1.9,Action
Bajrangi Bhaijaan,"Bajrangi Bhaijaan (English translation: Brother Bajrangi) is a 2015 Indian drama film directed by Kabir Khan. Written by K. V. Vijayendra Prasad# the film was produced by Salman Khan and Rockline Venkatesh. It stars Salman Khan and Harshaali Malhotra# with Nawazuddin Siddiqui and Kareena Kapoor Khan in supporting roles. Khan stars as Bajrangi# an ardent devotee of Hindu deity Hanuman# who embarks on taking a mute six-year-old Pakistani girl (Malhotra)# separated in India from her parents# back to her hometown in Pakistan.
Made on a budget of ?90 crore# the principal photography commenced in November 2014. The cinematography was done by Aseem Mishra and was edited by Rameshwar S. Bhagat. The soundtrack was composed by Pritam# who collaborated with Julius Packiam to score the background music.
In October 2015# the film was broadcast on Star Gold and became the most watched Bollywood movie in the history of television.",https://upload.wikimedia.org/wikipedia/en/d/dd/Bajrangi_Bhaijaan_Poster.jpg,17-07-2015,Salman Khan,-,Kabir Khan,Hindi,146,7.6,Romance
Bajirao Mastani,"Bajirao Mastani is a 2015 Indian epic historical romance film directed by Sanjay Leela Bhansali# who also composed the music of the film. It is jointly produced by Bhansali and Eros International. The film stars Ranveer Singh as Bajirao I and Deepika Padukone as Mastani# with Priyanka Chopra playing Bajirao's first wife Kashibai. Tanvi Azmi# Vaibbhav Tatwawdi and Milind Soman appear in supporting roles. Based on the Marathi novel Raau by Nagnath S. Inamdar# the film narrates the story of the Maratha Peshwa Bajirao (1700-1740 AD) and his second wife Mastani.
The film was in development for 15 years# with Bhansali wanting to make the film after Hum Dil De Chuke Sanam. However# several times# the production was delayed due to the changing cast. Principal photography started in mid 2014 after the casting of principal roles was finalised.",https://upload.wikimedia.org/wikipedia/en/5/52/Bajirao_Mastani_Poster_2.jpg,02-10-2015,"
",Prakash R. Kapadia ,Sanjay Leela Bhansali,Hindi,186,1.4,Action
Singh Is Bliing,Singh Is Bliing is a 2015 Bollywood action comedy film directed by Prabhu Deva and produced by Ashvini Yardi and Jayantilal Gada under the banners Grazing Goat Pictures and Pen India Pvt. Ltd. The film features Akshay Kumar# Amy Jackson# Lara Dutta and Kay Kay Menon in lead roles. It is not related to the 2008 film Singh is Kinng directed by Anees Bazmee.,https://upload.wikimedia.org/wikipedia/en/b/bb/Singh_Is_Bling.jpg,22-05-2015,"
",Shiraz Ahmed,Prabhu Deva,Hindi,186,8.3,Romance
Tanu Weds Manu: Returns,"Tanu Weds Manu Returns is a 2015 Indian romantic drama film directed by Anand L. Rai which serves as a sequel to the 2011 film Tanu Weds Manu. Kangana Ranaut# R. Madhavan# Jimmy Shergill# Deepak Dobriyal# Swara Bhaskar and Eijaz Khan reprise their roles from the original film. Ranaut also portrays the additional role of a Haryanvi athlete in it. The story# screenplay and the dialogues were written by Himanshu Sharma. The soundtrack and film score were composed by Krsna Solo and the lyrics were penned by Rajshekhar. Saroj Khan and Bosco–Caesar were the film?s choreographers while the editing was done by Hemal Kothari.
The principal photography began in October 2014 and the film was released on 22 May 2015. The film carries the story forward showing the next chapter of the couple's life.",https://upload.wikimedia.org/wikipedia/en/3/3f/Tanu_weds_Manu_poster.jpg,08-05-2015,Krishika Lulla,Himanshu Sharma,Anand L. Rai,Hindi,92,2.4,Thriller
Piku,"Piku is a 2015 Indian comedy-drama film directed by Shoojit Sircar and produced by N.P. Singh# Ronnie Lahiri and Sneha Rajani. It stars Deepika Padukone as the titular protagonist# Amitabh Bachchan and Irrfan Khan# with Moushumi Chatterjee and Jishu Sengupta portraying supporting roles. It tells the story of the short-tempered Piku Banerjee (Padukone)# her grumpy# ageing father Bhashkor (Bachchan) and Rana Chaudhary (Khan)# who is stuck between the father-daughter duo# as they embark on a journey to Kolkata.
The story and screenplay was written by Juhi Chaturvedi. Principal photography began in August 2014 and was wrapped up in December. Anupam Roy composed the soundtrack and score# and wrote the lyrics.
plot Piku was released on 8 May 2015. It garnered wide critical acclaim upon release.",https://upload.wikimedia.org/wikipedia/en/9/98/Piku.jpg,12-11-2015,N.P. Singh,Juhi Chaturvedi,Shoojit Sircar,Hindi,183,3.8,Thriller
Prem Ratan Dhan Payo,"Prem Ratan Dhan Payo (English: Found a Treasure Called Love) is a 2015 Indian romantic drama film# written and directed by Sooraj Barjatya# produced by Rajshri Productions and distributed by Fox Star Studios. It stars Salman Khan and Sonam Kapoor in lead roles. This is the fourth collaboration between Barjatya and Khan after their previous films Maine Pyar Kiya# Hum Aapke Hain Koun..!# and Hum Saath Saath Hain.
The cinematography of the movie was done by V. Manikandan and was edited by Sanjay Sankla. The soundtrack was composed by Himesh Reshammiya# and the background music done by Sanjoy Chowdhury. The film was released in India and Pakistan on 12 November 2015 to very mixed reviews from critics and audience. It emerged as a commercial success and ranks among the highest-grossing Bollywood films# with a gross of ?400 crore (US$59 million) worldwide.
The film was also released in Tamil and Telugu versions as Meymarandhen Paaraayo and Prema Leela# respectively.",https://upload.wikimedia.org/wikipedia/en/b/b2/Prem_Ratan_Dhan_Payo_Release_Poster.jpg,13-03-2015,"
",-,Sooraj R. Barjatya,Hindi,184,4.6,Action
NH10,"NH10 is a 2015 Indian thriller film directed by Navdeep Singh. It stars Anushka Sharma and Neil Bhoopalam in lead roles# and marks the production debut of Sharma. The film is co-produced by Phantom Films and Eros International. It tells the story of a young couple whose road trip goes awry after an encounter with a group of violent criminals. Part of the story is loosely adapted on 2007 Manoj-Babli honour killing case. The film's title refers to the 403 km long National Highway 10 in India.
NH10 released theatrically on 13 March 2015. The film and Sharma's performance garnered critical acclaim# and the film emerged as a sleeper hit.",https://upload.wikimedia.org/wikipedia/en/4/4e/NH10_Poster.jpg,05-06-2015,Vikramaditya Motwane,Sudip Sharma,Navdeep Singh,Hindi,135,5.3,Action
Dil Dhadakne Do,Dil Dhadakne Do (English: Let the Heart Beat) is a 2015 Indian comedy-drama film directed by Zoya Akhtar and produced by Ritesh Sidhwani and Farhan Akhtar. The film features an ensemble cast of Anil Kapoor# Shefali Shah# Priyanka Chopra# Ranveer Singh and Anushka Sharma with Farhan Akhtar in a special appearance and Aamir Khan performing voice-over as the narrator of the film in addition to Rahul Bose# Zarina Wahab and many more others in supporting roles. The film tells the story of a dysfunctional Punjabi family who invite their family and friends along on a cruise trip to celebrate the parents' 30th wedding anniversary. The film was released worldwide on 5 June 2015.,https://upload.wikimedia.org/wikipedia/en/c/c8/First_Look_Poster_of_Dil_Dhadakne_Do.jpg,19-05-2015,Ritesh Sidhwani,Farhan Akhtar,Zoya Akhtar,Hindi,182,5,Tragedy
Tevar,"Tevar (English: Attitude) is a 2015 Indian action film directed by Amit Sharma and written by Gunasekhar. The film stars Arjun Kapoor and Sonakshi Sinha and in lead roles while Manoj Bajpayee plays and crucial role. It is an official remake of Telugu film Okkadu (2003). Shruti Haasan made a special appearance in the song ""Madamiyan"".
The film was released worldwide on 9 January 2015.",https://upload.wikimedia.org/wikipedia/en/6/6c/Tevar_Official_Poster.jpg,24-06-2015,Boney Kapoor,Shantanu Srivastava,Amit Ravindernath Sharma,Hindi,98,7.8,Tragedy
Masaan,Masaan (Crematorium) is a 2015 Indian Hindi-language drama film directed by Neeraj Ghaywan. The directorial debut film is an Indo-French co-production produced by Drishyam Films# Macassar Productions# Phantom Films# Sikhya Entertainment# Arte France Cinema and Pathé Productions. It was screened in the Un Certain Regard section at the 2015 Cannes Film Festival winning two awards. Ghaywan previously assisted Anurag Kashyap on Gangs Of Wasseypur.,https://upload.wikimedia.org/wikipedia/en/1/1c/Masaan_poster.jpg,24-07-2015,Drishyam Films,Varun Grover,Neeraj Ghaywan,Hindi,92,8.8,Romance
Bombay Velvet,"Bombay Velvet is a 2015 Indian period crime-drama film directed and co-produced by Anurag Kashyap# based on historian Gyan Prakash's book Mumbai Fables. It stars Ranbir Kapoor# Anushka Sharma and Karan Johar in lead roles with Kay Kay Menon# Manish Choudhary# Vivaan Shah and Siddhartha Basu appearing in supporting roles. The film was released on 15 May 2015.
The film# made on a budget of ?120 crore# only took ?22.27 crore in the first week and was not commercially successful.",https://upload.wikimedia.org/wikipedia/en/0/05/Bombay_Velvet_poster.jpg,15-05-2015,"
","
",Anurag Kashyap,Hindi,161,4.8,Thriller
Angry Indian Goddesses,Angry Indian Goddesses is a 2015 Indian Hindi drama film# directed by Pan Nalin. It stars Sandhya Mridul# Tannishtha Chatterjee# Sarah-Jane Dias# Anushka Manchanda# Amrit Maghera# Rajshri Deshpande# and Pavleen Gujral with Adil Hussain. It was screened in the Special Presentations section of the 2015 Toronto International Film Festival# where it finished second for the People's Choice Award. The film was released worldwide on November 27# 2015.,https://upload.wikimedia.org/wikipedia/en/b/bf/Angry_Indian_Goddesses.jpg,30-09-2016,Gaurav Dhingra,Pan Nalin# Subhadra Mahajan# Arsala Qureishi,Pan Nalin,Hindi,194,5.8,Action
Dedh Ishqiya,Dedh Ishqiya is a 2014 Indian black comedy film directed by Abhishek Chaubey starring Madhuri Dixit# Arshad Warsi# Naseeruddin Shah# and Huma Qureshi in the lead roles. Produced by Raman Maroo of Shemaroo Entertainment and by Vishal Bharadwaj# it is a sequel of Ishqiya (2010). It was released worldwide on 10 January 2014.,https://upload.wikimedia.org/wikipedia/en/c/c8/Dedh_Ishqiya_Teaser_Poster.jpg,28-10-2016,"
",Gulzar,Abhishek Chaubey,Hindi,176,6.6,Thriller
Gunday,"Gunday (English: Outlaws) is a 2014 Indian action thriller film written and directed by Ali Abbas Zafar and produced by Aditya Chopra. The film features Ranveer Singh and Arjun Kapoor in the lead roles with Priyanka Chopra and Irrfan Khan in a supporting roles. The film starts off in the 1970s# with the introduction of 2 young boys: Bikram and Bala# who initially become gun carriers and later coal bandits. They ultimately grow up to become the most powerful goons of Calcutta. The film was released on 14 February 2014.
The film also released in Bengali with a full Bengali soundtrack also composed by Sohail Sen. Though# in some of the Bengali songs# the singers differ from the original. This was also the first Indian film to have its trailer premiere at the Dubai International Film Festival.",https://upload.wikimedia.org/wikipedia/en/4/46/Gunday_%282013_film%29.jpg,29-07-2016,Aditya Chopra,Ali Abbas Zafar,Ali Abbas Zafar,Hindi,94,6.4,Romance
Bewakoofiyaan,Bewakoofiyaan (Hindi: ??????????? ) (English:Stupidities) is a 2014 Indian romantic comedy film directed by Nupur Asthana# written by Habib Faisal and produced by Aditya Chopra under the banner of Yash Raj Films. It features Ayushmann Khurrana# Sonam Kapoor and Rishi Kapoor in lead roles. The film released on 14 March 2014.,https://upload.wikimedia.org/wikipedia/en/d/d6/Bewakoofiyaan_Poster.jpg,09-09-2016,Aditya Chopra,-,Nupur Asthana,Hindi,168,3,Comedy
Hasee Toh Phasee,Hasee Toh Phasee (English: She Smiles# She's Snared!) is a 2014 Indian romantic comedy-drama film directed by Vinil Mathew and produced by Karan Johar and Anurag Kashyap. The film features Parineeti Chopra# Sidharth Malhotra and Adah Sharma in the lead roles. The film was released on 7 February 2014 and received positive reviews. The movie collected around ?620 million (US$9.2 million) worldwide.,https://upload.wikimedia.org/wikipedia/en/2/2b/Haseetohphasee_poster.jpg,19-02-2016,Karan Johar,Dialogue:-,Vinil Mathew,Hindi,110,7.1,Romance
Humpty Sharma Ki Dulhania,Humpty Sharma Ki Dulhania (English: The bride of Humpty Sharma# abbreviated as HSKD) is a 2014 Hindi romantic comedy film written and directed by Shashank Khaitan and produced by Karan Johar. It features Varun Dhawan as Humpty Sharma and Alia Bhatt as Kavya Pratap Singh in the lead roles. HSKD was released on 11 July 2014 and became a box office success.,https://upload.wikimedia.org/wikipedia/en/4/4e/Humpty_Sharma_Ki_Dulhania_Poster.jpg,17-06-2016,Karan Johar,Shashank Khaitan,Shashank Khaitan,Hindi,108,1.4,Romance
Ek Villain,Ek Villain (English: One Villain) is a 2014 Indian romantic thriller directed by Mohit Suri. The film stars Sidharth Malhotra# Riteish Deshmukh and Shraddha Kapoor in lead roles# and tells the story of a hardened criminal whose terminally ill wife is murdered by a serial killer. The film was produced by Ekta Kapoor and Shobha Kapoor under Balaji Motion Pictures and ALT Entertainment. The film is an unofficial remake of the 2010 South Korean action thriller film I Saw The Devil. Upon its release on 27 June 2014# the film received mixed to positive reviews from the critics# and was a commercial success.,https://upload.wikimedia.org/wikipedia/en/0/0f/Ek_Villain_Poster.jpg,12-02-2016,Ekta Kapoor,Milap Zaveri ,Mohit Suri,Hindi,130,2.8,Thriller
Singham Returns,Singham Returns is a 2014 Indian action film directed by Rohit Shetty and produced by Ajay Devgn FFilms. A sequel to the 2011 film Singham# actor Ajay Devgan reprises his role from the previous film# as well as co-producing the project# while Kareena Kapoor Khan plays the female lead thus replacing Kajal Aggarwal. The film was also simultaneously made in Marathi. The film was released worldwide on 15 August 2014.,https://upload.wikimedia.org/wikipedia/en/8/83/Singham_Returns_Poster.jpg,17-07-2015,"
",Sajid-Farhad,Rohit Shetty,Hindi,162,6.4,Thriller
Heropanti,Heropanti (English: Big Attitude) a Bollywood action drama film directed by Sabbir Khan and produced by Sajid Nadiadwala. Actors Tiger Shroff and Kriti Sanon make their Hindi film debut with the film# alongside Prakash Raj as an important supporting role. This is a remake of the Telugu film Parugu# Heropanti released on 23 May 2014. The film received mixed reviews from critics# but managed to become a box office super hit. The satellite rights were bagged by Sony Entertainment Television.,https://upload.wikimedia.org/wikipedia/en/0/0d/Heropanti_Poster.jpg,02-10-2015,Sajid Nadiadwala,Sanjeev Dutta,Sabbir Khan,Hindi,177,5.3,Thriller
3 Idiots,"3 Idiots is a 2009 Indian coming of age comedy-drama film co-written# edited# and directed by Rajkumar Hirani and produced by Vidhu Vinod Chopra. Abhijat Joshi wrote the screenplay. It was loosely adapted from the novel Five Point Someone by Chetan Bhagat. The film stars Aamir Khan# Kareena Kapoor# R. Madhavan# Sharman Joshi# Omi Vaidya# Parikshit Sahni and Boman Irani.
Upon release# the film was the highest-grossing film in its opening weekend in India and had the highest opening day collections for an Indian film up until that point. It also held the record for the highest net collections in the first week for a Bollywood film. It also became one of the few Indian films to become successful in East Asian markets such as China# eventually bringing its overseas total to more than US$65 million at the time—the highest-grossing Bollywood film of all time in overseas markets# before being overtaken by Chennai Express in 2013. Over the years# it has attained the cult status.",https://upload.wikimedia.org/wikipedia/en/d/df/3_idiots_poster.jpg,22-05-2015,Vidhu Vinod Chopra,Abhijat Joshi,Rajkumar Hirani,Hindi,130,8.5,Thriller
